WORD	POS	DBO_TAG
frem	ADV	[('05|027|Udvikling, fremgang', 0.966), ('12|038|Sige sandheden', 0.945), ('06|023|Fremtid', 0.938), ('04|003|Tiltage', 0.88)]
på	ADP	[('09|067|Middel', 0.914)]
et	DET	--
teater	NOUN	[('14|023|Teater, optræden', 0.983), ('19|002|Byggeri', 0.983)]
vel	ADV	[('12|037|Indvende, protestere', 0.931), ('11|021|Formodning, tro', 0.924)]
efterhånden	ADV	[('08|020|Langsom bevægelse', 0.941)]
en	PRON	[('04|034|En', 0.937)]
af	ADP	[('05|042|Oprindelse', 0.921)]
de	DET	--
eneste	ADJ	--
kunstarter	NOUN	[('14|001|Kunst, kulturliv', 0.975), ('09|035|Iver, ihærdighed', 0.948)]
,	PUNCT	--
hvor	ADV	[('03|002|Beliggenhed, sted', 0.959), ('12|019|Spørgsmål', 0.95), ('11|042|Overraskelse', 0.946)]
levende	ADJ	[('12|031|Udtryksfuld', 0.961), ('09|017|Aktiv', 0.954), ('05|001|Eksistens', 0.94), ('05|026|Foranderlig', 0.916)]
mennesker	NOUN	[('02|013|Menneske', 0.948), ('10|057|Pirrelig, irritabel', 0.943)]
fortsat	ADV	[('09|027|Fortsætte', 0.9)]
er	VERB	[('11|011|Måle, regne', 0.981), ('12|011|Betegnelse, ord', 0.974), ('08|001|Opholdssted, beboet sted', 0.972), ('12|012|Betydning', 0.959), ('07|001|Synlig', 0.949)]
en	DET	--
nødvendighed	NOUN	[('05|034|Betingelse, forudsætning', 0.9), ('09|066|Krav', 0.895)]
,	PUNCT	--
og	KONJ	[('04|028|Tilføje', 0.932)]
tiden	NOUN	[('13|007|Fysik', 0.98), ('17|001|Sport', 0.971)]
tager	VERB	[('19|016|Radio og tv', 0.986), ('21|025|Politi', 0.981), ('11|034|Uddannelse', 0.98), ('15|042|Magtudøvelse', 0.98), ('02|042|Medicin', 0.977), ('17|001|Sport', 0.976), ('21|022|Stjæle', 0.974), ('20|012|Tilegnelse, erhvervelse', 0.969), ('09|011|Valg', 0.957)]
den	DET	[('06|004|Klokkeslæt, dato', 0.953)]
tid	NOUN	[('13|007|Fysik', 0.98), ('17|001|Sport', 0.971)]
,	PUNCT	--
den	PRON	--
tager	VERB	[('19|016|Radio og tv', 0.986), ('21|025|Politi', 0.981), ('11|034|Uddannelse', 0.98), ('15|042|Magtudøvelse', 0.98), ('02|042|Medicin', 0.977), ('17|001|Sport', 0.976), ('21|022|Stjæle', 0.974), ('20|012|Tilegnelse, erhvervelse', 0.969), ('09|011|Valg', 0.957)]
.	PUNCT	--
Århus	PROPN	--
Kunstbygning	PROPN	--
præsenterer	VERB	[('20|026|Salg, værdi', 0.981), ('14|024|Museum, udstilling', 0.965), ('15|025|Høflighed, hilsen', 0.964)]
japansk	ADV	--
samtidskunst	ADV	--
med	ADP	[('13|004|Matematik', 0.978), ('15|009|Gruppe', 0.974), ('04|042|Tilhørende', 0.946), ('05|014|Relation, sammenhæng', 0.934), ('09|067|Middel', 0.927)]
rødder	NOUN	[('02|025|Menneskets krop', 0.988), ('12|025|Grammatik', 0.981), ('13|004|Matematik', 0.979), ('12|011|Betegnelse, ord', 0.975), ('15|037|Fræk, uhøflig', 0.967), ('09|012|Foranledning, bevæggrund', 0.953), ('03|015|Understøtte', 0.942), ('03|033|Nede', 0.92)]
i	ADP	[('19|008|Tøj, påklædning', 0.99), ('13|004|Matematik', 0.978), ('03|002|Beliggenhed, sted', 0.962), ('06|004|Klokkeslæt, dato', 0.96), ('03|003|Tilstedeværelse', 0.9)]
traditionel	NOUN	--
,	PUNCT	--
buddhistisk	ADJ	[('22|001|Religiøsitet, tro', 0.976)]
filosofi	NOUN	[('13|002|Forskning, videnskab', 0.975), ('13|018|Humaniora', 0.975), ('11|019|Mening, holdning', 0.961)]
.	PUNCT	--
Rikou	PROPN	--
Ueda	PROPN	--
er	VERB	[('11|011|Måle, regne', 0.981), ('12|011|Betegnelse, ord', 0.974), ('08|001|Opholdssted, beboet sted', 0.972), ('12|012|Betydning', 0.959), ('07|001|Synlig', 0.949)]
den	DET	[('06|004|Klokkeslæt, dato', 0.953)]
mest	ADV	--
opsigtsvækkende	ADJ	[('11|007|Opmærksom', 0.95)]
af	ADP	[('05|042|Oprindelse', 0.921)]
de	DET	--
to	NUM	[('04|033|Tal', 0.967), ('04|035|To', 0.921)]
deltagende	VERB	--
kunstnere	NOUN	[('20|001|Stillingsbetegnelser', 0.992), ('09|047|Dygtighed, behændighed', 0.958)]
.	PUNCT	--
Han	PRON	[('02|013|Menneske', 0.945)]
bygger	VERB	[('20|003|Lønarbejde', 0.983), ('05|040|Tilblivelse, opståen', 0.932)]
sindrige	ADJ	[('11|044|Klog', 0.96)]
,	PUNCT	--
meterlange	ADJ	--
konstruktioner	NOUN	[('19|002|Byggeri', 0.984), ('19|013|Maskine, apparat', 0.984), ('11|018|Udtænke, opfinde', 0.964), ('11|025|Indbildning, illusion', 0.964), ('12|014|Sætning', 0.933)]
med	ADP	[('13|004|Matematik', 0.978), ('15|009|Gruppe', 0.974), ('04|042|Tilhørende', 0.946), ('05|014|Relation, sammenhæng', 0.934), ('09|067|Middel', 0.927)]
et	DET	--
tegneredskab	NOUN	[('19|012|Værktøj, redskab', 0.986)]
for	ADP	[('20|025|Køb, handel', 0.975), ('09|067|Middel', 0.922), ('03|025|Foran', 0.895)]
enden	NOUN	[('02|025|Menneskets krop', 0.986), ('03|022|Grænse, rand', 0.956), ('09|030|Afbryde', 0.942)]
,	PUNCT	--
som	PRON	--
bliver	VERB	[('11|011|Måle, regne', 0.979), ('12|011|Betegnelse, ord', 0.971)]
installeret	VERB	[('19|018|Computer', 0.982), ('08|001|Opholdssted, beboet sted', 0.97), ('09|015|Plan', 0.951)]
i	ADP	[('19|008|Tøj, påklædning', 0.99), ('13|004|Matematik', 0.978), ('03|002|Beliggenhed, sted', 0.962), ('06|004|Klokkeslæt, dato', 0.96), ('03|003|Tilstedeværelse', 0.9)]
det	DET	--
fri	ADJ	[('17|010|Fodbold', 0.985), ('13|009|Kemi', 0.983), ('21|020|Rettighed', 0.974), ('20|042|Marked, konkurrence', 0.969), ('11|018|Udtænke, opfinde', 0.968), ('15|037|Fræk, uhøflig', 0.968), ('18|015|Demokrati', 0.966), ('04|032|Adskille, dele op', 0.96), ('20|029|Gratis', 0.956), ('09|049|Let, enkel', 0.944)]
,	PUNCT	--
sådan	ADV	--
at	PART	[('12|025|Grammatik', 0.975)]
vindens	NOUN	[('19|012|Værktøj, redskab', 0.988), ('19|009|Tekstil, håndarbejde', 0.986), ('01|005|Vejr, luft', 0.967), ('05|037|Kraft', 0.949)]
tilfældige	ADJ	[('13|006|Statistik', 0.952)]
bevægelser	NOUN	[('15|010|Forening', 0.973), ('18|015|Demokrati', 0.959), ('10|055|Taknemmelighed', 0.896)]
,	PUNCT	--
ikke	ADV	--
kunstnerens	NOUN	[('20|001|Stillingsbetegnelser', 0.992), ('09|047|Dygtighed, behændighed', 0.958)]
hånd	NOUN	[('17|023|Spil', 0.979), ('01|014|Fastland, landskab', 0.96)]
,	PUNCT	--
afsætter	VERB	[('20|026|Salg, værdi', 0.981), ('13|005|Geometri, figur', 0.972), ('20|004|Fratrædelse', 0.946)]
punkter	NOUN	[('14|011|Musik', 0.987), ('13|004|Matematik', 0.979), ('12|042|Tryk, print', 0.975), ('03|002|Beliggenhed, sted', 0.964), ('04|004|Lille', 0.954), ('12|024|Samtale', 0.953), ('08|034|Mødes, støde sammen', 0.949)]
og	KONJ	[('04|028|Tilføje', 0.932)]
linjeformationer	NOUN	--
på	ADP	[('09|067|Middel', 0.914)]
papir	NOUN	[('20|038|Værdipapirer', 0.978), ('18|006|International politik', 0.975), ('12|045|Brev', 0.965)]
.	PUNCT	--
De	DET	--
usandsynligt	ADV	--
smukke	ADJ	[('12|028|Retorik, billedsprog', 0.952), ('10|010|Begejstre, glæde', 0.937)]
billeder	NOUN	[('19|010|Pynt og smykker', 0.981), ('14|009|Fotografi', 0.976), ('11|037|Huske', 0.96), ('12|028|Retorik, billedsprog', 0.957), ('07|001|Synlig', 0.949)]
er	VERB	[('11|011|Måle, regne', 0.981), ('12|011|Betegnelse, ord', 0.974), ('08|001|Opholdssted, beboet sted', 0.972), ('12|012|Betydning', 0.959), ('07|001|Synlig', 0.949)]
derfor	ADV	[('11|014|Konkludere', 0.928)]
ikke	ADV	--
repræsenteret	VERB	[('20|041|Virksomhed, ledelse', 0.981), ('18|015|Demokrati', 0.959), ('05|017|Ens', 0.947)]
natur	NOUN	[('13|021|Antropologi', 0.97), ('05|009|Egenskab', 0.955), ('05|008|Beskaffenhed, art', 0.951), ('05|037|Kraft', 0.949)]
,	PUNCT	--
men	KONJ	[('12|037|Indvende, protestere', 0.926)]
natur	NOUN	[('13|021|Antropologi', 0.97), ('05|009|Egenskab', 0.955), ('05|008|Beskaffenhed, art', 0.951), ('05|037|Kraft', 0.949)]
slet	ADV	--
og	KONJ	[('04|028|Tilføje', 0.932)]
ret	ADV	[('04|044|Høj grad', 0.928)]
.	PUNCT	--
Vinden	NOUN	[('19|012|Værktøj, redskab', 0.988), ('19|009|Tekstil, håndarbejde', 0.986), ('01|005|Vejr, luft', 0.967), ('05|037|Kraft', 0.949)]
synliggør	VERB	[('12|002|Fortælle', 0.952), ('07|001|Synlig', 0.943)]
sig	PRON	--
selv	PRON	[('04|034|En', 0.937)]
med	ADP	[('13|004|Matematik', 0.978), ('15|009|Gruppe', 0.974), ('04|042|Tilhørende', 0.946), ('05|014|Relation, sammenhæng', 0.934), ('09|067|Middel', 0.927)]
heftig	ADJ	[('10|031|Vrede', 0.962), ('10|005|Sindsbevægelse, ophidselse', 0.96), ('10|010|Begejstre, glæde', 0.94)]
turbulens	NOUN	[('13|007|Fysik', 0.98), ('08|017|Flyvemaskine', 0.976)]
eller	KONJ	--
seismografisk	ADJ	[('13|014|Geologi', 0.975)]
skrøbelighed	NOUN	[('02|037|Sygdom', 0.986), ('10|006|Følsomhed', 0.939)]
alt	ADJ	--
efter	ADP	[('06|015|Efter, senere', 0.951), ('03|034|Række', 0.944)]
dens	DET	--
eget	ADJ	[('20|041|Virksomhed, ledelse', 0.981), ('05|008|Beskaffenhed, art', 0.947)]
væsen	NOUN	[('18|011|Offentlig myndighed', 0.972), ('11|004|Begreb, forestilling', 0.954)]
.	PUNCT	--
Det	PRON	--
