WORD	POS	DBO_TAG
Euridice	NOUN	--
,	PUNCT	--
var	VERB	[('11|011|Måle, regne', 0.981), ('12|011|Betegnelse, ord', 0.974), ('08|001|Opholdssted, beboet sted', 0.972), ('12|012|Betydning', 0.959), ('07|001|Synlig', 0.949)]
det	PRON	--
Graciela	PROPN	--
Oddones	PROPN	--
umådeligt	ADV	--
virkningsfulde	ADJ	[('05|037|Kraft', 0.941)]
Messaggiera	PROPN	--
,	PUNCT	--
der	PRON	--
blev	VERB	[('11|011|Måle, regne', 0.979), ('12|011|Betegnelse, ord', 0.971)]
stående	VERB	[('02|007|Dyreliv', 0.974), ('05|046|Begivenhed', 0.93), ('06|011|Varig, bestandig', 0.919)]
.	PUNCT	--
Også	ADV	[('04|031|Forene, samle', 0.961), ('12|015|Tale', 0.956), ('12|037|Indvende, protestere', 0.936), ('10|029|Forundret', 0.929)]
efter	ADP	[('06|015|Efter, senere', 0.951), ('03|034|Række', 0.944)]
at	PART	[('12|025|Grammatik', 0.975)]
hun	PRON	[('02|013|Menneske', 0.945)]
-	PUNCT	--
som	ADP	--
et	DET	--
symbol	NOUN	[('22|001|Religiøsitet, tro', 0.979), ('12|001|Tegn', 0.97), ('12|028|Retorik, billedsprog', 0.954)]
på	ADP	[('09|067|Middel', 0.914)]
den	DET	[('06|004|Klokkeslæt, dato', 0.953)]
død	NOUN	[('05|043|Ødelæggelse', 0.957), ('10|025|Kedelig, kede sig', 0.954)]
enhver	DET	--
tragedies	VERB	--
overbringere	NOUN	--
af	ADP	[('05|042|Oprindelse', 0.921)]
dårlige	ADJ	[('02|037|Sygdom', 0.986), ('04|004|Lille', 0.946)]
budskaber	NOUN	[('22|001|Religiøsitet, tro', 0.978), ('12|006|Nyhed', 0.939)]
er	VERB	[('11|011|Måle, regne', 0.981), ('12|011|Betegnelse, ord', 0.974), ('08|001|Opholdssted, beboet sted', 0.972), ('12|012|Betydning', 0.959), ('07|001|Synlig', 0.949)]
hjemfalden	NOUN	--
til	ADP	[('13|005|Geometri, figur', 0.973), ('08|023|Styre mod, retning', 0.949), ('09|014|Hensigt, formål', 0.937), ('05|018|Ligne', 0.924)]
-	PUNCT	--
lod	VERB	[('08|016|Skib', 0.986), ('19|015|Elektronik', 0.971), ('05|033|Årsag', 0.931)]
sig	PRON	--
falde	VERB	[('20|038|Værdipapirer', 0.979), ('08|042|Ned', 0.952), ('15|017|Undlade, nægte', 0.95), ('15|050|Nederlag', 0.938)]
ned	ADV	[('08|042|Ned', 0.948), ('04|046|Mindre grad', 0.897)]
og	KONJ	[('04|028|Tilføje', 0.932)]
opsluge	VERB	[('15|042|Magtudøvelse', 0.976), ('07|003|Usynlig', 0.907)]
af	ADP	[('05|042|Oprindelse', 0.921)]
orkestergravens	NOUN	[('14|023|Teater, optræden', 0.982)]
klangmættede	VERB	--
mørke	NOUN	[('11|038|Glemme', 0.947), ('10|041|Bekymret', 0.943)]
.	PUNCT	--
Endnu	ADV	[('04|044|Høj grad', 0.932), ('06|014|Før, tidligere', 0.915)]
mere	ADJ	[('04|020|Mange, meget', 0.961), ('04|028|Tilføje', 0.939), ('04|045|Højere grad', 0.938)]
overskridende	NOUN	--
var	VERB	[('11|011|Måle, regne', 0.981), ('12|011|Betegnelse, ord', 0.974), ('08|001|Opholdssted, beboet sted', 0.972), ('12|012|Betydning', 0.959), ('07|001|Synlig', 0.949)]
sydafrikaneren	NOUN	[('18|003|Verdens lande og hovedstæder', 0.98)]
William	PROPN	--
Kentridges	PROPN	--
dukketeaterudgave	NOUN	--
af	ADP	[('05|042|Oprindelse', 0.921)]
""""	PUNCT	--
Il	PROPN	--
ritorno	X	--
d'	PROPN	--
Ulisse	PROPN	--
""""	PUNCT	--
på	ADP	[('09|067|Middel', 0.914)]
Lunateater	NOUN	--
.	PUNCT	--
Her	ADV	[('20|016|Forære, forsørge', 0.967), ('03|003|Tilstedeværelse', 0.888)]
er	VERB	[('11|011|Måle, regne', 0.981), ('12|011|Betegnelse, ord', 0.974), ('08|001|Opholdssted, beboet sted', 0.972), ('12|012|Betydning', 0.959), ('07|001|Synlig', 0.949)]
Odysseus	PROPN	--
kommet	VERB	[('02|029|Sex og begær', 0.977), ('06|024|Nær fremtid', 0.831)]
længere	ADV	--
